pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count
1,7,5,14,9,QTOSimplifyDiscardSolver,100.0,100.0,0.0,45
1,8,5,14,9,QTOSimplifyDiscardSolver,100.0,100.0,0.0,44
1,9,5,14,9,QTOSimplifyDiscardSolver,100.0,100.0,0.0,45
2,8,5,21,12,PenaltySolver,0,0,150.00092769687475,87
2,9,5,21,12,PenaltySolver,0,0.1953125,118.47511336904029,104
2,0,5,21,12,ChocoSolver,0,100.0,0.1329687499468125,127
2,1,5,21,12,ChocoSolver,0,100.0,0.34310825883054047,128
2,2,5,21,12,ChocoSolver,0,100.0,0.9664248507302738,109
2,3,5,21,12,ChocoSolver,55.76171875,100.0,0.09179687497519003,130
2,4,5,21,12,ChocoSolver,37.01171875,100.0,0.29886300212540606,100
2,5,5,21,12,ChocoSolver,59.66796875,100.0,0.2253032482959728,115
2,6,5,21,12,ChocoSolver,0,100.0,0.5487253286585656,133
2,7,5,21,12,ChocoSolver,1.3671875,100.0,0.2701280381194089,94
2,8,5,21,12,ChocoSolver,98.73046875,100.0,0.007202148435699463,115
2,9,5,21,12,ChocoSolver,0.09765625,100.0,0.6368762598752012,102
2,0,5,21,12,NewSolver,1.171875,100.0,0.19253906242298438,201
2,1,5,21,12,NewSolver,79.39453125,100.0,0.07301897319342315,201
2,2,5,21,12,NewSolver,89.35546875,100.0,0.119931175538128,201
2,3,5,21,12,NewSolver,85.3515625,100.0,0.029639991546043246,201
2,4,5,21,12,NewSolver,93.26171875,100.0,0.037737165165093865,201
2,5,5,21,12,NewSolver,91.2109375,100.0,0.040912828936601885,201
2,6,5,21,12,NewSolver,0.09765625,100.0,0.4122121708356778,201
2,7,5,21,12,NewSolver,0.68359375,100.0,0.13368055551842206,201
2,8,5,21,12,NewSolver,43.45703125,100.0,0.13034667965491334,201
2,9,5,21,12,NewSolver,86.23046875,100.0,0.08669354835913111,201
2,0,5,21,12,QTOSimplifySolver,63.8671875,100.0,0.15976562493609375,201
2,1,5,21,12,QTOSimplifySolver,67.578125,100.0,0.14994419638573023,201
2,2,5,21,12,QTOSimplifySolver,49.70703125,100.0,0.5929594491224003,201
2,3,5,21,12,QTOSimplifySolver,52.1484375,100.0,0.19330658778559281,201
2,4,5,21,12,QTOSimplifySolver,72.94921875,100.0,0.14972795753581145,201
2,5,5,21,12,QTOSimplifySolver,66.50390625,100.0,0.10570004109060525,201
2,6,5,21,12,QTOSimplifySolver,0.09765625,100.0,0.559056331942602,201
2,7,5,21,12,QTOSimplifySolver,13.57421875,100.0,0.1763237846732434,201
2,8,5,21,12,QTOSimplifySolver,22.8515625,100.0,0.20710449213572388,201
2,9,5,21,12,QTOSimplifySolver,68.65234375,100.0,0.2000693043709454,201
2,0,5,21,12,QTOSimplifyDiscardSolver,0,100.0,0.12257812495096874,201
2,1,5,21,12,QTOSimplifyDiscardSolver,99.4140625,100.0,0.002622767856393495,201
2,2,5,21,12,QTOSimplifyDiscardSolver,0,100.0,0.33430989567413816,201
2,3,5,21,12,QTOSimplifyDiscardSolver,0.29296875,100.0,0.08770586990872814,201
2,4,5,21,12,QTOSimplifyDiscardSolver,98.33984375,100.0,0.013532366066595584,201
2,5,5,21,12,QTOSimplifyDiscardSolver,99.4140625,100.0,0.0032894736833448753,201
2,6,5,21,12,QTOSimplifyDiscardSolver,0,100.0,0.28762335511177717,201
2,7,5,21,12,QTOSimplifyDiscardSolver,0,100.0,0.06212022567718883,201
2,8,5,21,12,QTOSimplifyDiscardSolver,17.7734375,100.0,0.06359863279660034,201
2,9,5,21,12,QTOSimplifyDiscardSolver,100.0,100.0,0.0,201
