pkid,pbid,layers,variables,constraints,method,num_segments,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,49,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,48.92578125,100.0,0.19832356754306368,301,29.758260417263955,23.875162646640092,308224
0,50,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,73.73046875,100.0,0.09472656242713341,301,33.1917827706784,27.569656384177506,308224
0,51,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,3.7109375,100.0,0.44062499955937495,301,34.57946910010651,27.942779598291963,308224
0,52,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,1.7578125,100.0,0.08914620531469228,301,30.7512070517987,24.829858089331537,308224
0,53,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,90.91796875,100.0,0.02179276314642486,301,26.670291141141206,25.24541344307363,308224
0,54,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,75.9765625,100.0,0.04887695310056152,301,25.79914244497195,24.50454994989559,308224
0,55,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,84.765625,100.0,0.1893554685606445,301,32.12585209496319,23.920720173045993,308224
0,56,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,92.87109375,100.0,0.04946001835325881,301,27.68457846622914,22.932831985875964,308224
0,57,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,80.76171875,100.0,0.07365337167176138,301,23.963926662690938,22.152013048529625,308224
0,58,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,87.6953125,100.0,0.051011029381758215,301,31.417550412006676,21.58326738793403,308224
0,59,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.40625,100.0,0.06049262149417076,301,23.793874457944185,23.54805947979912,308224
0,60,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,93.45703125,100.0,0.03828124997447917,301,27.14487730152905,22.981032764539123,308224
0,61,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,62.890625,100.0,0.039189877700352226,301,30.03931688796729,26.43429579678923,308224
0,62,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,77.24609375,100.0,0.11118861599200812,301,32.27194202737883,24.479477318003774,308224
0,63,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,75.1953125,100.0,0.3621419267815484,301,33.04543317621574,24.840987793635577,308224
0,64,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0.78125,100.0,0.1300998263166112,301,24.60251506837085,22.25559506053105,308224
0,65,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,92.28515625,100.0,0.03222656247851562,301,28.522303389385343,24.792176423594356,308224
0,66,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,33.0078125,100.0,0.2863420756883271,301,30.262341076973826,24.493204440921545,308224
0,67,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,83.0078125,100.0,0.26855468711635044,301,28.62603132566437,23.352207069285214,308224
0,68,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,92.87109375,100.0,0.07561383917769451,301,23.75788351148367,24.242479672655463,308224
0,69,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,78.41796875,100.0,0.06473214282631802,301,27.503030360210687,24.93497679568827,308224
0,70,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,62.109375,100.0,0.1117621527156877,301,33.7779943193309,27.440552175976336,308224
0,71,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,85.25390625,100.0,0.10945012010811528,301,28.58634178014472,20.88585927290842,308224
0,72,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,90.0390625,100.0,0.032812499978125,301,27.770970030222088,23.48476575082168,308224
0,73,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,75.0,100.0,0.2158203123651123,301,32.933573794551194,26.56696934439242,308224
0,74,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,75.390625,100.0,0.09490411923190534,301,32.66123944707215,25.394072780851275,308224
0,75,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,87.6953125,100.0,0.0585937499609375,301,28.7584953722544,24.54769798181951,308224
